Instancia;Repositorio;Distancia;BKS;GAPBKS;TiempoEjecución
A280;NearestNeighbour;3200;2579;24.079100426521908;0.035484566000377527
A280;GeneticAlgorithm;13407.155152203008;2579;419.8586720512992;118.94899121800063
A280;TabuSearch;20094.27660369096;2579;679.14992647115;79.66467607899995
A280;AntSystem1;3379.2982776126355;2579;31.031340737209597;12.676610686999993
A280;AntSystem2;3235.0451985632035;2579;25.437968149019135;12.75266996099981
A280;AntSystem3;3810.4875102888286;2579;47.750582019729684;12.723661622999316
A280;2-OPT;3810.4875102888286;2579;11.593640946103141;0.03170730599958915
A280;SimulatedAnnealing;3810.4875102888286;2579;24.079100426521908;2.4875442570000814
A280;GSPH_FC;2860;2579;10.895696006203954;1.9935303219999696
BERLIN52;NearestNeighbour;9192;7542;21.877486077963404;0.0003451109996603918
BERLIN52;GeneticAlgorithm;9103.138460554765;7542;20.699263597915202;6.4356664249999085
BERLIN52;TabuSearch;8455.14622181008;7542;12.107481063512072;0.48899000300025364
BERLIN52;AntSystem1;8267.160338883725;7542;9.6149607383151;0.22018066099917633
BERLIN52;AntSystem2;8139.5706105064755;7542;7.923238007245764;0.22956975600027363
BERLIN52;AntSystem3;8604.695084185409;7542;14.0903617632645;0.23081027999978687
BERLIN52;2-OPT;8604.695084185409;7542;3.699284009546539;0.0005201820004003821
BERLIN52;SimulatedAnnealing;8604.695084185409;7542;7.915672235481305;0.5396130279996214
BERLIN52;GSPH_FC;7674;7542;1.7501988862370723;0.019567440999708197
BIER127;NearestNeighbour;150126;118282;26.922101418643578;0.0036912700006723753
BIER127;GeneticAlgorithm;218913.4151671843;118282;85.07753941190063;27.471208560000377
BIER127;TabuSearch;293470.0475027683;118282;148.11048807322186;7.034463922000214
BIER127;AntSystem1;131389.92544234527;118282;11.08192746347311;1.660770386999502
BIER127;AntSystem2;136338.47680013816;118282;15.265616746536379;1.7021306990000085
BIER127;AntSystem3;146588.99235850963;118282;23.9317836682755;1.6617286499995316
BIER127;2-OPT;146588.99235850963;118282;2.0789300147106067;0.004385352000099374
BIER127;SimulatedAnnealing;146588.99235850963;118282;7.878629039076106;1.2937028129999817
BIER127;GSPH_FC;120143;118282;1.5733585837236435;1.1505228219994024
CH130;NearestNeighbour;7331;6110;19.98363338788871;0.004047510999953374
CH130;GeneticAlgorithm;15311.654747768765;6110;150.59991403876867;28.808259688999897
CH130;TabuSearch;19827.174909780006;6110;224.50368101112937;7.504593983999257
CH130;AntSystem1;7262.29679579426;6110;18.859194693850412;1.7772059410008296
CH130;AntSystem2;7097.323220616436;6110;16.15913618030173;1.876412015999449
CH130;AntSystem3;7784.665092479998;6110;27.40859398494268;1.8730265150006744
CH130;2-OPT;7784.665092479998;6110;2.635024549918167;0.005718714000067848
CH130;SimulatedAnnealing;7784.665092479998;6110;16.153846153846153;1.2260372280006777
CH130;GSPH_FC;6591;6110;7.872340425531915;0.231848297000397
CH150;NearestNeighbour;8031;6528;23.02389705882353;0.005695394000213128
CH150;GeneticAlgorithm;17838.40081222966;6528;173.25981636381215;35.25760186400021
CH150;TabuSearch;23835.28858157525;6528;265.1239059677581;11.441723840000122
CH150;AntSystem1;7521.417909943501;6528;15.217798865556087;2.5331159990000742
CH150;AntSystem2;7402.752802394439;6528;13.400012291581476;2.687929194999924
CH150;AntSystem3;9072.839998738717;6528;38.98345586303181;2.5470641430001706
CH150;2-OPT;9072.839998738717;6528;4.258578431372549;0.0055582539998795255
CH150;SimulatedAnnealing;9072.839998738717;6528;13.388480392156863;1.3946740000001228
CH150;GSPH_FC;7581;6528;16.130514705882355;0.3271681019996322
D198;NearestNeighbour;18698;15780;18.491761723700886;0.01667591200020979
D198;GeneticAlgorithm;64310.21728145016;15780;307.5425683235118;63.714931282999714
D198;TabuSearch;74327.11332899763;15780;371.0209970151941;26.31042726600026
D198;AntSystem1;18894.24919370392;15780;19.735419478478576;4.962065756999436
D198;AntSystem2;18437.11928628214;15780;16.838525261610524;5.025199493999935
D198;AntSystem3;20190.004268893616;15780;27.94679511339427;5.001006743999824
D198;2-OPT;20190.004268893616;15780;-6.761723700887198;0.01663513099992997
D198;SimulatedAnnealing;20190.004268893616;15780;12.281368821292777;1.8393034829996395
D198;GSPH_FC;12430;15780;-21.229404309252217;4.156944950000252
EIL51;NearestNeighbour;541;426;26.995305164319248;0.0003173000004608184
EIL51;GeneticAlgorithm;515.3880290387845;426;20.983105408165365;6.388592415999483
EIL51;TabuSearch;489.00121874740944;426;14.78901848530738;0.45559053999932075
EIL51;AntSystem1;472.95341643447415;426;11.02192874048689;0.20697364799980278
EIL51;AntSystem2;465.9246582622656;426;9.371985507574086;0.20934086399938678
EIL51;AntSystem3;507.90417277845756;426;19.22633163813558;0.20812694100004592
EIL51;2-OPT;507.90417277845756;426;-0.7042253521126761;0.0005825220005135634
EIL51;SimulatedAnnealing;507.90417277845756;426;8.450704225352112;0.5108804280007462
EIL51;GSPH_FC;436;426;2.3474178403755865;0.011969681000664423
EIL76;NearestNeighbour;704;538;30.855018587360593;0.0009202719993481878
EIL76;GeneticAlgorithm;801.7547239574276;538;49.02504162777465;12.231884417999936
EIL76;TabuSearch;822.9395600895716;538;52.962743511072794;1.4929689460004738
EIL76;AntSystem1;592.5423573247833;538;10.137984632859354;0.5197088099994289
EIL76;AntSystem2;598.1812775583431;538;11.186111070324003;0.5276522999993176
EIL76;AntSystem3;629.5835745830057;538;17.022969253346776;0.5051109740006723
EIL76;2-OPT;629.5835745830057;538;2.41635687732342;0.00131097299981775
EIL76;SimulatedAnnealing;629.5835745830057;538;10.037174721189592;0.7252202749996286
EIL76;GSPH_FC;589;538;9.479553903345725;0.04848593500082643
EIL101;NearestNeighbour;858;629;36.40699523052464;0.001964264999514853
EIL101;GeneticAlgorithm;1072.7643722105688;629;70.55077459627485;19.96541078899918
EIL101;TabuSearch;1218.4683953290905;629;93.7151661890446;3.5196884469996803
EIL101;AntSystem1;762.6591096403265;629;21.249460992102783;1.0184130389998245
EIL101;AntSystem2;775.3827729889956;629;23.272300952145567;1.039863062999757
EIL101;AntSystem3;845.6747764202527;629;34.44750022579534;1.04022290300054
EIL101;2-OPT;845.6747764202527;629;7.154213036565977;0.002355535999413405
EIL101;SimulatedAnnealing;845.6747764202527;629;21.144674085850557;0.9343064979993869
EIL101;GSPH_FC;664;629;5.5643879173290935;0.13025305599967396
GIL262;NearestNeighbour;2926;2378;23.044575273338943;0.027347868000106246
GIL262;GeneticAlgorithm;11118.845246044262;2378;367.5712887318865;90.60287653399973
GIL262;TabuSearch;16306.596027128435;2378;585.7273350348374;61.984959634000006
GIL262;AntSystem1;2918.6555026812384;2378;22.73572340963997;10.46511161699982
GIL262;AntSystem2;2966.20800203916;2378;24.735407991554244;10.607235131999914
GIL262;AntSystem3;3363.708716553968;2378;41.45116554053692;10.543742403000579
GIL262;2-OPT;3363.708716553968;2378;6.518082422203532;0.026404846000332327
GIL262;SimulatedAnnealing;3363.708716553968;2378;22.70815811606392;2.267293984000389
GIL262;GSPH_FC;2662;2378;11.942809083263246;2.7869539640005314
KROA100;NearestNeighbour;27211;21282;27.85922375716568;0.0018615839999256423
KROA100;GeneticAlgorithm;43862.217264020146;21282;106.10007172267713;20.303769995999573
KROA100;TabuSearch;53010.31645786676;21282;149.0852197061684;3.429838492000272
KROA100;AntSystem1;24221.152007384037;21282;13.810506566037198;0.9620160180002131
KROA100;AntSystem2;24149.808296494186;21282;13.475276273349243;0.9810019649994501
KROA100;AntSystem3;26834.90892489146;21282;26.092044567669674;0.9742424180003582
KROA100;2-OPT;26834.90892489146;21282;-0.7706042665163049;0.003611058999922534
KROA100;SimulatedAnnealing;26834.90892489146;21282;13.471478244525889;1.0369852450003236
KROA100;GSPH_FC;23423;21282;10.060144723240297;0.11503731599987077
KROB100;NearestNeighbour;27855;22141;25.807325775710222;0.0018303950000699842
KROB100;GeneticAlgorithm;41397.75501889079;22141;86.97328494146963;17.1030271059999
KROB100;TabuSearch;56954.13386931912;22141;157.2337919214088;3.460911909999595
KROB100;AntSystem1;24854.54650214867;22141;12.255754040687732;0.9727490639997995
KROB100;AntSystem2;25193.008005475964;22141;13.784418072697546;0.9900345169999127
KROB100;AntSystem3;28055.77036804631;22141;26.714106716256307;0.9920593429997098
KROB100;2-OPT;28055.77036804631;22141;2.9086310464748655;0.003733680000550521
KROB100;SimulatedAnnealing;28055.77036804631;22141;12.253285759450792;1.0031522499994026
KROB100;GSPH_FC;21700;22141;-1.991779955738223;0.12406756899963511
KROC100;NearestNeighbour;28094;20749;35.399296351631406;0.001979675000256975
KROC100;GeneticAlgorithm;46762.87490522674;20749;125.3741139583919;18.69601011299983
KROC100;TabuSearch;52742.42455205632;20749;154.19260953326096;3.4264982839995355
KROC100;AntSystem1;23064.244800640226;20749;11.158344019664689;0.9617551870005627
KROC100;AntSystem2;24576.589714544018;20749;18.447104508863163;0.9855511859996113
KROC100;AntSystem3;27268.496745662575;20749;31.420775679129477;0.9852746059996207
KROC100;2-OPT;27268.496745662575;20749;2.072389030796665;0.003680528999211674
KROC100;SimulatedAnnealing;27268.496745662575;20749;11.15716420068437;1.025266216000091
KROC100;GSPH_FC;20752;20749;0.014458528121837197;0.1278441690001273
KROD100;NearestNeighbour;28614;21294;34.37588052972668;0.0019342449995747302
KROD100;GeneticAlgorithm;48744.093550593294;21294;128.9099913148929;17.135653287999958
KROD100;TabuSearch;54331.933792800366;21294;155.15137500141057;3.3876602270001968
KROD100;AntSystem1;24117.518687663192;21294;13.259691404448166;0.9664612679998754
KROD100;AntSystem2;24746.434874808983;21294;16.21318152911141;0.9845809440002995
KROD100;AntSystem3;27507.49461536836;21294;29.179555815574147;0.9699282279998442
KROD100;2-OPT;27507.49461536836;21294;2.512444820137128;0.0028143670006102184
KROD100;SimulatedAnnealing;27507.49461536836;21294;13.257255564947872;1.0119399120003436
KROD100;GSPH_FC;22559;21294;5.940640556025172;0.1343395359999704
KROE100;NearestNeighbour;27464;22068;24.451694761645822;0.0019410049999351031
KROE100;GeneticAlgorithm;46135.35977418735;22068;109.05999535158308;16.455177705000096
KROE100;TabuSearch;53045.41309955646;22068;140.37254440618298;3.423141375000341
KROE100;AntSystem1;25969.259449028825;22068;17.67835530645652;0.9901354169996921
KROE100;AntSystem2;24432.409023137672;22068;10.71419713221711;0.9773486659996706
KROE100;AntSystem3;27110.299032217445;22068;22.84891712985973;0.968447283000387
KROE100;2-OPT;27110.299032217445;22068;5.097879282218598;0.002751826999883633
KROE100;SimulatedAnnealing;27110.299032217445;22068;10.712343665035345;1.0097490869993635
KROE100;GSPH_FC;22482;22068;1.8760195758564437;0.14457951199983654
KROA150;NearestNeighbour;33513;26524;26.349721007389533;0.0058446640005058725
KROA150;GeneticAlgorithm;87072.8033505433;26524;228.2793068562181;35.29619547099992
KROA150;TabuSearch;108949.75510060051;26524;310.75914304252944;11.542662302999815
KROA150;AntSystem1;32476.568717968854;26524;22.442198454112706;2.6087544179999895
KROA150;AntSystem2;31637.08895159141;26524;19.277216677693445;2.571906735999619
KROA150;AntSystem3;36646.32117157565;26524;38.162875778825395;2.556454636000126
KROA150;2-OPT;36646.32117157565;26524;5.538380334791133;0.00842213099986111
KROA150;SimulatedAnnealing;36646.32117157565;26524;17.964862011762932;1.46827831399969
KROA150;GSPH_FC;27614;26524;4.109485748755843;0.44784437299949786
KROB150;NearestNeighbour;35843;26130;37.1718331419824;0.005529494000256818
KROB150;GeneticAlgorithm;88236.22261597417;26130;237.68167859155827;32.82149316899995
KROB150;TabuSearch;108309.92330954227;26130;314.50410757574537;11.529507970999475
KROB150;AntSystem1;30615.75896202941;26130;17.167083666396515;2.547928705999766
KROB150;AntSystem2;31185.423108488227;26130;19.347199037459728;2.6070847139999387
KROB150;AntSystem3;36761.348983282514;26130;40.686371922244604;2.6397915950001334
KROB150;2-OPT;36761.348983282514;26130;4.282433983926522;0.010261095999339886
KROB150;SimulatedAnnealing;36761.348983282514;26130;16.16532721010333;1.4785258000001704
KROB150;GSPH_FC;27894;26130;6.750861079219288;0.5118390080006066
KROA200;NearestNeighbour;37925;29368;29.13715608825933;0.01316846300051111
KROA200;GeneticAlgorithm;118309.82907831534;29368;302.8528639277967;58.88498890699975
KROA200;TabuSearch;165862.54944574874;29368;464.7730504145626;27.475390920999416
KROA200;AntSystem1;36326.38713115871;29368;23.693772579537978;5.217976036999971
KROA200;AntSystem2;35849.0095828016;29368;22.068270167534727;5.2711090899993
KROA200;AntSystem3;40786.57298067952;29368;38.88100306687387;5.240567972999997
KROA200;2-OPT;40786.57298067952;29368;3.599155543448652;0.01882236700021167
KROA200;SimulatedAnnealing;40786.57298067952;29368;22.068237537455733;1.858693821000088
KROA200;GSPH_FC;31286;29368;6.530918005992918;1.0721281800006182
KROB200;NearestNeighbour;36804;29437;25.026327411081294;0.013317453000126989
KROB200;GeneticAlgorithm;119900.91055659504;29437;307.3136208057718;57.24507413399988
KROB200;TabuSearch;165100.9043680949;29437;460.86185537960694;27.468386034000105
KROB200;AntSystem1;37102.28821693889;29437;26.039637928249785;5.186559938000755
KROB200;AntSystem2;36239.299465620024;29437;23.10799152637845;5.266670248000082
KROB200;AntSystem3;39165.48272891554;29437;33.04848567760144;5.198789488999864
KROB200;2-OPT;39165.48272891554;29437;2.5138431226008087;0.025067513000067265
KROB200;SimulatedAnnealing;39165.48272891554;29437;21.66661004857832;1.8833571230006783
KROB200;GSPH_FC;31910;29437;8.400991948907837;1.1253036770003746
LIN105;NearestNeighbour;19419;14379;35.05111621114125;0.002231675999610161
LIN105;GeneticAlgorithm;32636.816490294535;14379;126.97556499265967;21.092029708000155
LIN105;TabuSearch;37999.167300329296;14379;164.26849781159535;3.9532339819998015
LIN105;AntSystem1;16031.819235971772;14379;11.494674427788944;1.06766184099979
LIN105;AntSystem2;15948.476395706452;14379;10.915059431855147;1.0788738700002796
LIN105;AntSystem3;18016.61749787884;14379;25.298125724173033;1.0772623559996646
LIN105;2-OPT;18016.61749787884;14379;-1.2935530982683079;0.0045768110003336915
LIN105;SimulatedAnnealing;18016.61749787884;14379;10.251060574448848;1.0524219440003435
LIN105;GSPH_FC;15420;14379;7.239724598372627;0.254407364999679
LIN318;NearestNeighbour;52586;42029;25.118370648837708;0.0608463219996338
LIN318;GeneticAlgorithm;258914.24923145378;42029;516.0371391930662;163.8356745430001
LIN318;TabuSearch;383074.65724080167;42029;811.453180520121;121.70632025299983
LIN318;AntSystem1;52087.58578564088;42029;23.93248896152865;17.986677368000528
LIN318;AntSystem2;51300.77758017437;42029;22.060428704404984;18.2122656319998
LIN318;AntSystem3;59894.933634707726;42029;42.508586058930085;17.947224948999974
LIN318;2-OPT;59894.933634707726;42029;6.742963192081658;0.048985012999764876
LIN318;SimulatedAnnealing;59894.933634707726;42029;22.05857860049014;2.9948870939997505
LIN318;GSPH_FC;46312;42029;10.19058269290252;7.400888911999573
LINHP318;NearestNeighbour;52586;41345;27.188293626798888;0.06173889400088228
LINHP318;GeneticAlgorithm;258914.24923145378;41345;526.2286835928256;155.82956884099985
LINHP318;TabuSearch;383074.65724080167;41345;826.5320044522957;121.32764983400011
LINHP318;AntSystem1;52087.58578564088;41345;25.98279304786764;17.891204186000323
LINHP318;AntSystem2;51300.77758017437;41345;24.07976195470884;18.233313407000423
LINHP318;AntSystem3;59894.933634707726;41345;44.86620784788421;17.926301076000527
LINHP318;2-OPT;59894.933634707726;41345;8.50888862014754;0.049704598000062106
LINHP318;SimulatedAnnealing;59894.933634707726;41345;24.077881243197485;2.9522300400003587
LINHP318;GSPH_FC;46312;41345;12.013544564034346;7.5142735530007485
PR76;NearestNeighbour;146281;108159;35.24625782412929;0.0009976430001188419
PR76;GeneticAlgorithm;164528.53765148547;108159;52.11728811424429;12.008428031999756
PR76;TabuSearch;170181.3701169261;108159;57.34369781241144;1.4908174479996887
PR76;AntSystem1;120277.91235885945;108159;11.204719310329656;0.48831802700078697
PR76;AntSystem2;120861.58937875497;108159;11.744366514811503;0.5065180539995708
PR76;AntSystem3;135914.8941888446;108159;25.66212168089997;0.5016954720003923
PR76;2-OPT;135914.8941888446;108159;4.90574062260191;0.0010326330002499162
PR76;SimulatedAnnealing;135914.8941888446;108159;11.011566305161844;0.8272805990000052
PR76;GSPH_FC;106856;108159;-1.2047078837637182;0.054794791999484005
PR107;NearestNeighbour;48476;44303;9.419226688937544;0.0026478770005269325
PR107;GeneticAlgorithm;136918.79034794506;44303;209.0508325574906;20.756147029999738
PR107;TabuSearch;122608.23187130026;44303;176.74927628219365;4.155599837999944
PR107;AntSystem1;49751.742551869735;44303;12.298811709973895;1.1422866709999653
PR107;AntSystem2;51471.81287227448;44303;16.181326032716704;1.1411614270000427
PR107;AntSystem3;53456.95658397488;44303;20.6621596369882;1.2002011800004766
PR107;2-OPT;53456.95658397488;44303;3.843983477416879;0.003111588000137999
PR107;SimulatedAnnealing;53456.95658397488;44303;9.419226688937544;1.0481517879998137
PR107;GSPH_FC;29424;44303;-33.58463309482428;0.14105190299960668
PR124;NearestNeighbour;70828;59030;19.986447569032695;0.0037957800004733144
PR124;GeneticAlgorithm;211144.99980974235;59030;257.69100425163873;26.19767611899988
PR124;TabuSearch;253485.3485681989;59030;329.41783596171257;6.447855607999372
PR124;AntSystem1;62190.22962938627;59030;5.353599236636062;1.5596612050003387
PR124;AntSystem2;61848.280036750184;59030;4.774318205573749;1.5933805819995541
PR124;AntSystem3;70902.18751615952;59030;20.112125217956166;1.5975052820003839
PR124;2-OPT;70902.18751615952;59030;-4.114856852447908;0.0038783299996794085
PR124;SimulatedAnnealing;70902.18751615952;59030;4.773843808233102;1.2053302719996282
PR124;GSPH_FC;52827;59030;-10.508216161273928;0.2262341320001724
PR136;NearestNeighbour;128226;96772;32.50320340594387;0.005047852999268798
PR136;GeneticAlgorithm;255982.04622022214;96772;164.52077689850591;28.893847758999982
PR136;TabuSearch;332599.2337837265;96772;243.69366529959754;8.584045898000113
PR136;AntSystem1;117529.08818957354;96772;21.449477317378516;2.0186334960008026
PR136;AntSystem2;118581.16927236403;96772;22.536652412230843;2.0192028179999397
PR136;AntSystem3;130375.75441326352;96772;34.72466665281644;2.025407484000425
PR136;2-OPT;130375.75441326352;96772;5.721696358450791;0.006828726999628998
PR136;SimulatedAnnealing;130375.75441326352;96772;20.20625800851486;1.3495036840004104
PR136;GSPH_FC;90482;96772;-6.499813995783904;0.32044430499990995
PR144;NearestNeighbour;61078;58537;4.340844252353213;0.005525515000044834
PR144;GeneticAlgorithm;246538.86304376187;58537;321.16757442944095;32.17938660699929
PR144;TabuSearch;331317.91256134503;58537;465.9974248105387;10.140682164999816
PR144;AntSystem1;64922.1197187665;58537;10.907835589057353;2.29951218000042
PR144;AntSystem2;65040.59065896858;58537;11.110222011665401;2.320200483000008
PR144;AntSystem3;67953.89839155426;58537;16.087087468702297;2.290467585999977
PR144;2-OPT;67953.89839155426;58537;3.966721902386525;0.0035586290005085175
PR144;SimulatedAnnealing;67953.89839155426;58537;4.340844252353213;1.373839826999756
PR144;GSPH_FC;54484;58537;-6.923825956232809;0.2760976310000842
